nodes,time
9.000000000000000000e+00,2.104677290008112323e-01
1.400000000000000000e+01,2.141299619979690760e-01
1.800000000000000000e+01,2.378219849997549318e-01
2.300000000000000000e+01,2.624665469993487932e-01
2.700000000000000000e+01,2.807221900002332404e-01
3.200000000000000000e+01,3.143377160013187677e-01
3.600000000000000000e+01,3.487823209979978856e-01
4.100000000000000000e+01,3.897385450000001583e-01
4.500000000000000000e+01,4.484500860016851220e-01
5.000000000000000000e+01,5.098689660007948987e-01
5.400000000000000000e+01,5.009787039998627733e-01
5.900000000000000000e+01,5.873747289988386910e-01
6.300000000000000000e+01,6.214748309976130258e-01
6.800000000000000000e+01,6.896077079982205760e-01
7.200000000000000000e+01,7.735954120034875814e-01
7.700000000000000000e+01,9.261546839989023283e-01
8.100000000000000000e+01,9.260567619967332575e-01
8.600000000000000000e+01,1.135050732002127916e+00
9.000000000000000000e+01,1.088882129999547033e+00
9.500000000000000000e+01,1.237391403999936301e+00
9.900000000000000000e+01,1.414921098999911919e+00
1.040000000000000000e+02,1.517472936000558548e+00
1.080000000000000000e+02,1.608624639997287886e+00
1.130000000000000000e+02,1.715367449000041233e+00
1.170000000000000000e+02,1.793013146001612768e+00
1.220000000000000000e+02,2.096059251998667605e+00
1.260000000000000000e+02,2.308408846998645458e+00
1.310000000000000000e+02,2.326466444999823580e+00
1.350000000000000000e+02,2.402532531999895582e+00
1.400000000000000000e+02,2.635664145000191638e+00
1.440000000000000000e+02,2.752679273999092402e+00
1.490000000000000000e+02,2.969065516997943632e+00
1.530000000000000000e+02,2.982146758000453701e+00
1.580000000000000000e+02,3.472151558999030385e+00
1.620000000000000000e+02,3.601808046001679031e+00
1.670000000000000000e+02,3.651645785997970961e+00
1.710000000000000000e+02,3.634223798999300925e+00
1.760000000000000000e+02,3.976725258999067592e+00
1.800000000000000000e+02,4.283429758001148002e+00
1.850000000000000000e+02,4.426497732001735130e+00
1.890000000000000000e+02,4.745548908002092503e+00
1.940000000000000000e+02,4.886695925000822172e+00
1.980000000000000000e+02,4.874018840000644559e+00
2.030000000000000000e+02,5.290560834000643808e+00
2.070000000000000000e+02,5.330060675001732307e+00
2.120000000000000000e+02,5.484094749997893814e+00
2.160000000000000000e+02,5.981309666996821761e+00
2.210000000000000000e+02,5.999747153000498656e+00
2.250000000000000000e+02,6.287124165999557590e+00
2.300000000000000000e+02,6.762889318997622468e+00
2.340000000000000000e+02,7.057883942998159910e+00
2.390000000000000000e+02,6.663313230001222109e+00
2.430000000000000000e+02,7.170689014001254691e+00
2.480000000000000000e+02,7.676444224001897965e+00
2.520000000000000000e+02,7.676862009000615217e+00
2.570000000000000000e+02,7.790706338997551939e+00
2.610000000000000000e+02,8.340619722002884373e+00
2.660000000000000000e+02,8.215563549001672072e+00
2.700000000000000000e+02,8.388623667000501882e+00
