init_goal,time
wp1_wp2,1.295810506999259815e+00
wp1_wp3,1.303783278999617323e+00
wp1_wp4,1.291721348003193270e+00
wp1_wp5,1.287748226997791789e+00
wp1_wp6,1.271884020003199112e+00
wp1_wp7,1.272242167004151270e+00
wp1_wp8,1.287046892000944354e+00
wp1_wp9,1.444725656001537573e+00
wp1_wp10,1.511257670994382352e+00
wp1_wp11,1.496280172999831848e+00
wp1_wp12,1.484869366002385505e+00
wp1_wp13,1.461615001004247461e+00
wp1_wp14,1.458334590002777986e+00
wp1_wp15,1.390108188999874983e+00
wp1_wp16,1.330508802006079350e+00
wp1_wp17,1.297570656002790201e+00
wp1_wp18,1.338162830994406249e+00
wp1_wp19,1.358059220001450740e+00
wp1_wp21,1.361531978000130039e+00
wp1_wp22,1.288721007003914565e+00
wp1_wp23,1.277461534999019932e+00
wp1_wp24,1.291684794996399432e+00
wp1_wp25,1.273983261002285872e+00
wp1_wp26,1.301386977000220213e+00
wp1_wp27,1.358239007000520360e+00
wp1_wp28,1.310563240003830288e+00
wp1_wp29,1.282546272996114567e+00
wp1_wp30,1.292625235000741668e+00
wp1_wp31,1.323021132993744686e+00
wp1_wp32,1.361335241999768186e+00
wp1_wp33,1.367236403995775618e+00
wp1_wp34,1.374796329997479916e+00
wp1_wp35,1.406154554002569057e+00
wp1_wp36,1.315265078999800608e+00
wp1_wp37,1.390511675999732688e+00
wp1_wp38,1.361406527998042293e+00
wp1_wp39,1.274496525998983998e+00
wp1_wp40,1.285495264004566707e+00
wp1_wp42,1.281843147997278720e+00
wp1_wp43,1.275514582994219381e+00
wp1_wp44,1.294351383003231604e+00
wp1_wp45,1.304079956993518863e+00
wp1_wp46,1.359671733996947296e+00
wp1_wp47,1.372199306999391410e+00
wp1_wp48,1.432442413999524433e+00
wp1_wp49,1.350698263006052002e+00
wp1_wp50,1.380536985001526773e+00
wp1_wp51,1.317151608993299305e+00
wp1_wp52,1.347362628999690060e+00
wp1_wp53,1.343093948002206162e+00
wp1_wp54,1.350881044003472198e+00
wp1_wp55,1.317274329994688742e+00
wp1_wp56,1.338484067004173994e+00
wp1_wp57,1.328430613000818994e+00
wp1_wp58,1.311824377000448294e+00
wp2_wp1,1.313773541995033156e+00
wp2_wp3,1.329440064000664279e+00
wp2_wp4,1.309623582004860509e+00
wp2_wp5,1.303767367004184052e+00
wp2_wp6,1.267305838002357632e+00
wp2_wp7,1.279976957994222175e+00
wp2_wp8,1.339927342000009958e+00
wp2_wp9,2.044661015999736264e+00
wp2_wp10,2.032486834999872372e+00
wp2_wp11,2.362503830998321064e+00
wp2_wp12,2.212060092999308836e+00
wp2_wp13,2.259051537999766879e+00
wp2_wp14,2.266172235002159141e+00
wp2_wp15,2.205957853999279905e+00
wp2_wp16,2.418935022004006896e+00
wp2_wp17,2.159732583000732120e+00
wp2_wp18,2.279442211998684797e+00
wp2_wp19,2.067844498997146729e+00
wp2_wp21,2.279388515002210625e+00
wp2_wp22,2.305048627000360284e+00
